discord,main_name,spec,score,name,thumbnail,score_color
Dawnh,Dhdawn,Deathknight Blood,TANK,Dhawnd,,
Gand,Gandizzle,Deathknight Blood,TANK,Gandeta,,
Macx,Macx,Deathknight Blood,TANK,Macmeal,,
gefgz,Gefmonk,Deathknight Frost,DPS,Gefsdk,,
Phill,Ohhdisc,Deathknight Frost,DPS,Ohhrat,,
norskenxd,Nørskenxd,Deathknight Unholy,DPS,Nørskenx-TarrenMill,,
Xeno,Xeno,Deathknight Unholy,DPS,xenofotm,,
Duckie,Duckievoker,Demonhunter Havoc,DPS,Assterior-ravencrest,,
Huntersnus,Huntersnus,Demonhunter Havoc,DPS,Demonsnus,,
Derrin,Derrin,Demonhunter Havoc,DPS,Namorá,,
Thiccbrandon,Thiccthia,Demonhunter Havoc,DPS,Sassysara,,
Creepin,Creepint,Demonhunter Veng,TANK,Helloing,,
Oreo,Oretwist,Demonhunter Veng,TANK,Jzckó,,
Reroll,Rêrôll,Demonhunter Veng,TANK,Quitalrdy,,
Fabray,Echoette,Druid Balance,DPS,Anyarla,,
_satw,Lynnbb,Druid Balance,DPS,Bigjett lvl1,,
.brobeans,Bumlings,Druid Balance,DPS,Bumphoon-TwistingNether,,
Gat,Gatadin,Druid Feral,DPS,Gatuid,,
Tirgon,Tirgon,Druid Guardian,TANK,Catere,,
Leeta,Leeta,Druid Guardian,TANK,Depleetaa,,
Borons,Borons,Druid Guardian,TANK,Dorons,,
Totemaija (Maria),Mysticanya,Druid Guardian,TANK,Meilay,,
Demowolfiecls,Steelfister,Druid Resto,HEALER,Nightstars,,
Kieran,Healasaurus,Druid Resto,HEALER,Roarasaurus,,
Skynix,Skylyd,Druid Resto,HEALER,skyarde,,
Khirasa,Xandras,Evoker Aug,DPS,Kazsindra,,
Dreothal,Dreothal,Evoker Aug,DPS,Sildenor,,
.hugo6227,Sseexxyy,Evoker Dev,DPS,Staywoker,,
Eldonaris,Eldonaris,Hunter BM,DPS,Asmopet,,
Legmeat,Legmeat,Hunter BM,DPS,Eames,,
Dudette Baguette,Sahirah,Hunter MM,DPS,Etheleya,,
Huggaren,Huggmark,Hunter MM,DPS,Jägarmark,,
Yosh,Malthius,Hunter MM,DPS,Lenedar,,
Zilliei,Yddraig,Mage Arcane,DPS,Steinsgate,,
Tirean,Táreana,Mage Arcane,DPS,Tírean,,
Guldbæk,Guldbäek,Mage Fire,DPS,Goldbæk,,
Gordon (Glepnír),Glepnír,Mage Fire,DPS,Infernoglep,,
Jeventes,Jeventes,Mage Fire,DPS,Jevemage,,
Stonei,Stoneapple,Mage Fire,DPS,Kalratmandor-TwistingNether,,
taliataliatalia,Taliaa,Mage Fire,DPS,Taliaone,,
Yagoora,Yagoora,Mage Fire,DPS,Zuramarù,,
Yuliea,Lovely,Mage Frost,DPS,Doll,,
Dissolved,Dissolved,Mage Frost,DPS,Kethris,,
Bard,Smard,Mage Frost,DPS,Magimand,,
Coralyne,Deathlyne,Mage Frost,DPS,Magelyne,,
Chonky,Illichonk-Ravencrest,Monk Mistweaver,HEALER,Doyoumistme,,
uJelly,Jellian,Monk Mistweaver,HEALER,Mooian,,
Aiorchilin,Aiorchilin,Monk WW,DPS,Bijli,,
Stickman,Buffsticks/Spearstick,Monk WW,DPS,Fiststick,,
Venhime,Venhime,Monk WW,DPS,Ventime,,
Xyrells,Xyrells,Monk WW,DPS,Xyrellsmonk,,
honeyhoney,Honeysmaug,Paladin Holy,HEALER,Honeylight-TwistingNether,,
Flebyburd,Flebyrat,Paladin Prot,TANK,Flebycrusade,,
Foxy,Foxypawz,Paladin Prot,TANK,Lightpawz,,
Ben,Ascalyboi,Paladin Prot,TANK,Lutheren,,
Adam,Celkaa,Paladin Ret,DPS,Cellkadin,,
Raz,Razmaa,Paladin Ret,DPS,Exordia,,
Lindro,Lindrodh,Paladin Ret,DPS,Lindroret,,
Nakora,Nakoya,Paladin Ret,DPS,Nykura,,
RainbowNugget,Sòngòku,Paladin Ret,DPS,Sóngohan,,
Siro,Siro,Priest Disc,HEALER,Sïro,,
Sylivia,Syleevee,Priest Disc,HEALER,Sylaphina,,
sadcat_madcat,Tarrotcat,Priest Holy,DPS,Gloomycat,,
TRX,Byrul,Priest Shadow,DPS,Branjar,,
Redd5255,Ketacain,Priest Shadow,DPS,Robohypnol,,
Kat,Jojoseaweed,Rogue Ass,DPS,Rosetoy,,
Uldza,Uldza,Rogue Ass,DPS,Uldarogue,,
Lones,Lones,Rogue Outlaw,DPS,Lonesone,,
Raliator,Splitcrit,Rogue Outlaw,DPS,Raliator-Kazzak,,
Glaern,Glaern,Rogue Outlaw,DPS,,,
Peterjohnson,Ultimatejuan,Rogue Sub,DPS,Grimupnorth,,
gerry9087,Naechi,Rogue Sub,DPS,Knaefi,,
Henk,Ifat,Rogue Sub,DPS,Mackaa,,
Onrine,Onrie,Rogue Sub,DPS,Onno,,
Falgren,Dheros,Shaman Ele,DPS,,,
Pane,Såsse,Shaman Enhance,DPS,Framstjaert-Emeriss,,
Maximuszj,Maximuszj,Shaman Enhance,DPS,Shamimuszj,,
Thzlar,CrispyToad,Shaman Enhance,DPS,Theyna,,
Donkeyen |Christian,Donkeyen,Shaman Resto,HEALER,Hurrikeyen,,
Solusk,Cruxus,Shaman Resto,HEALER,Solusk,,
slandf,SlanDk,Warlock Aff,DPS,Slankells,,
Jules,Traumatic,Warlock Demo,DPS,Miserably,,
